"","MAE","model","competition","openA","openB","seed","N","P"
"1",0.0876626632921546,"kms","Men_Rx_2018","open1 ","open2 ",54321,101460,5
"2",0.0974360636844863,"polyreg","Men_Rx_2018","open1 ","open2 ",54321,101460,5
"3",0.0733549728524855,"kms","Men_Rx_2018","open1 ","open3 ",54321,86850,5
"4",0.109023423649323,"polyreg","Men_Rx_2018","open1 ","open3 ",54321,86850,5
"5",0.0692324719787175,"kms","Men_Rx_2018","open1 ","open4 ",54321,87443,5
"6",0.114165763239896,"polyreg","Men_Rx_2018","open1 ","open4 ",54321,87443,5
"7",0.0592590855799767,"kms","Men_Rx_2018","open1 ","open5 ",54321,89497,5
"8",0.0744210556184615,"polyreg","Men_Rx_2018","open1 ","open5 ",54321,89497,5
"9",0.0698487855208345,"kms","Men_Rx_2018","open2 ","open3 ",54321,87278,5
"10",0.103904391266103,"polyreg","Men_Rx_2018","open2 ","open3 ",54321,87278,5
"11",0.0658314379681912,"kms","Men_Rx_2018","open2 ","open4 ",54321,88128,5
"12",0.110204736019897,"polyreg","Men_Rx_2018","open2 ","open4 ",54321,88128,5
"13",0.0597642480347515,"kms","Men_Rx_2018","open2 ","open5 ",54321,90699,5
"14",0.0747930192719288,"polyreg","Men_Rx_2018","open2 ","open5 ",54321,90699,5
"15",0.077426036052609,"kms","Men_Rx_2018","open3 ","open4 ",54321,81505,5
"16",0.113111985120312,"polyreg","Men_Rx_2018","open3 ","open4 ",54321,81505,5
"17",0.195295550724388,"kms","Men_Rx_2018","open3 ","open5 ",54321,80512,5
"18",0.0719235767836726,"polyreg","Men_Rx_2018","open3 ","open5 ",54321,80512,5
"19",0.0601275949346953,"kms","Men_Rx_2018","open4 ","open5 ",54321,84092,5
"20",0.0727468873870389,"polyreg","Men_Rx_2018","open4 ","open5 ",54321,84092,5
"21",0.21319751311632,"kms","Men_Rx_2017","open1 ","open2 ",54321,32724,5
"22",0.104306338414144,"polyreg","Men_Rx_2017","open1 ","open2 ",54321,32724,5
"23",0.0813745064047426,"kms","Men_Rx_2017","open1 ","open3 ",54321,29630,5
"24",0.111683152868663,"polyreg","Men_Rx_2017","open1 ","open3 ",54321,29630,5
"25",0.0852684194625325,"kms","Men_Rx_2017","open1 ","open4 ",54321,30063,5
"26",0.0967306363906476,"polyreg","Men_Rx_2017","open1 ","open4 ",54321,30063,5
"27",0.0768742003971865,"kms","Men_Rx_2017","open1 ","open5 ",54321,26327,5
"28",0.111577141552344,"polyreg","Men_Rx_2017","open1 ","open5 ",54321,26327,5
"29",0.0864569762697451,"kms","Men_Rx_2017","open2 ","open3 ",54321,29136,5
"30",0.107610824396442,"polyreg","Men_Rx_2017","open2 ","open3 ",54321,29136,5
"31",0.0772685776843795,"kms","Men_Rx_2017","open2 ","open4 ",54321,29061,5
"32",0.0983829957544001,"polyreg","Men_Rx_2017","open2 ","open4 ",54321,29061,5
"33",0.0755229158606597,"kms","Men_Rx_2017","open2 ","open5 ",54321,25708,5
"34",0.106649771572556,"polyreg","Men_Rx_2017","open2 ","open5 ",54321,25708,5
"35",0.0798199174510524,"kms","Men_Rx_2017","open3 ","open4 ",54321,27620,5
"36",0.0972751267070065,"polyreg","Men_Rx_2017","open3 ","open4 ",54321,27620,5
"37",0.0786213844391178,"kms","Men_Rx_2017","open3 ","open5 ",54321,24727,5
"38",0.109450900074581,"polyreg","Men_Rx_2017","open3 ","open5 ",54321,24727,5
"39",0.0813528182829463,"kms","Men_Rx_2017","open4 ","open5 ",54321,25623,5
"40",0.108380243715966,"polyreg","Men_Rx_2017","open4 ","open5 ",54321,25623,5
"41",0.206761294919006,"kms","Women_Rx_2018","open1 ","open2 ",54321,42352,5
"42",0.105089599828104,"polyreg","Women_Rx_2018","open1 ","open2 ",54321,42352,5
"43",0.173874585311106,"kms","Women_Rx_2018","open1 ","open3 ",54321,35620,5
"44",0.131412534374241,"polyreg","Women_Rx_2018","open1 ","open3 ",54321,35620,5
"45",0.172764008117366,"kms","Women_Rx_2018","open1 ","open4 ",54321,36221,5
"46",0.110881711477076,"polyreg","Women_Rx_2018","open1 ","open4 ",54321,36221,5
"47",0.176439424536599,"kms","Women_Rx_2018","open1 ","open5 ",54321,36585,5
"48",0.0952415134680619,"polyreg","Women_Rx_2018","open1 ","open5 ",54321,36585,5
"49",0.189594170230093,"kms","Women_Rx_2018","open2 ","open3 ",54321,37214,5
"50",0.137654622099087,"polyreg","Women_Rx_2018","open2 ","open3 ",54321,37214,5
"51",0.185905158089053,"kms","Women_Rx_2018","open2 ","open4 ",54321,37767,5
"52",0.0985779467442715,"polyreg","Women_Rx_2018","open2 ","open4 ",54321,37767,5
"53",0.0627167561822822,"kms","Women_Rx_2018","open2 ","open5 ",54321,37851,5
"54",0.0950821647632954,"polyreg","Women_Rx_2018","open2 ","open5 ",54321,37851,5
"55",0.172414244718029,"kms","Women_Rx_2018","open3 ","open4 ",54321,34420,5
"56",0.100913003951678,"polyreg","Women_Rx_2018","open3 ","open4 ",54321,34420,5
"57",0.170493006439451,"kms","Women_Rx_2018","open3 ","open5 ",54321,33838,5
"58",0.0853717523292511,"polyreg","Women_Rx_2018","open3 ","open5 ",54321,33838,5
"59",0.175179653856928,"kms","Women_Rx_2018","open4 ","open5 ",54321,35382,5
"60",0.0852930252264208,"polyreg","Women_Rx_2018","open4 ","open5 ",54321,35382,5
"61",0.206049635664323,"kms","Women_Rx_2017","open1 ","open2 ",54321,9558,5
"62",0.135137967201712,"polyreg","Women_Rx_2017","open1 ","open2 ",54321,9558,5
"63",0.170357979783428,"kms","Women_Rx_2017","open1 ","open3 ",54321,7354,5
"64",0.123221882872604,"polyreg","Women_Rx_2017","open1 ","open3 ",54321,7354,5
"65",0.117798133742371,"kms","Women_Rx_2017","open1 ","open4 ",54321,9373,5
"66",0.122690090750219,"polyreg","Women_Rx_2017","open1 ","open4 ",54321,9373,5
"67",0.185206999471401,"kms","Women_Rx_2017","open1 ","open5 ",54321,8597,5
"68",0.129444182412834,"polyreg","Women_Rx_2017","open1 ","open5 ",54321,8597,5
"69",0.171566839569907,"kms","Women_Rx_2017","open2 ","open3 ",54321,7222,5
"70",0.140444481968325,"polyreg","Women_Rx_2017","open2 ","open3 ",54321,7222,5
"71",0.19029455064636,"kms","Women_Rx_2017","open2 ","open4 ",54321,8725,5
"72",0.115022845755911,"polyreg","Women_Rx_2017","open2 ","open4 ",54321,8725,5
"73",0.190033539904256,"kms","Women_Rx_2017","open2 ","open5 ",54321,8069,5
"74",0.126052343459534,"polyreg","Women_Rx_2017","open2 ","open5 ",54321,8069,5
"75",0.159071690953923,"kms","Women_Rx_2017","open3 ","open4 ",54321,6966,5
"76",0.111320271210571,"polyreg","Women_Rx_2017","open3 ","open4 ",54321,6966,5
"77",0.154611521681641,"kms","Women_Rx_2017","open3 ","open5 ",54321,6574,5
"78",0.112659179530039,"polyreg","Women_Rx_2017","open3 ","open5 ",54321,6574,5
"79",0.190057185228342,"kms","Women_Rx_2017","open4 ","open5 ",54321,8380,5
"80",0.114533917556377,"polyreg","Women_Rx_2017","open4 ","open5 ",54321,8380,5
